City,Population,Burglary,"Larceny-
theft",Rate
"Abilene, TX","169,713",852.0,"2,493.6",3.3%
"Akron, OH","704,320",575.3,"1,853.0",2.4%
"Albany, GA","154,516","1,099.6","2,652.8",3.8%
"Albany, OR","120,716",484.6,"2,476.1",3.0%
"Albuquerque, NM","905,803",883.4,"3,047.6",3.9%
"Alexandria, LA","154,844","1,167.0","3,083.7",4.3%
"Altoona, PA","125,646",218.9,"1,163.6",1.4%
"Amarillo, TX","262,320",763.2,"2,743.2",3.5%
"Ames, IA","95,279",311.7,"1,462.0",1.8%
"Anchorage, AK","316,990",554.9,"3,087.5",3.6%
"Ann Arbor, MI","359,888",290.4,"1,417.4",1.7%
"Anniston-Oxford-Jacksonville, AL","115,117",525.0,"2,210.1",2.7%
"Appleton, WI","232,783",206.6,"1,154.7",1.4%
"Asheville, NC","446,543",592.6,"1,436.6",2.0%
"Athens-Clarke County, GA","200,776",675.4,"2,272.7",2.9%
"Atlanta-Sandy Springs-Roswell, GA","5,704,839",629.4,"2,113.2",2.7%
"Atlantic City-Hammonton, NJ2","274,876",525.0,"2,210.1",2.7%
"Austin-Round Rock, TX2","2,005,823",415.7,"2,096.8",2.5%
"Bakersfield, CA","882,213",954.3,"1,881.1",2.8%
"Baltimore-Columbia-Towson, MD","2,795,298",517.6,"1,823.0",2.3%
"Bangor, ME","153,137",337.0,"1,604.4",1.9%
"Barnstable Town, MA","214,749",475.9,"1,170.7",1.6%
"Baton Rouge, LA","829,780",780.0,"2,586.6",3.4%
"Battle Creek, MI","134,644",744.2,"2,000.8",2.7%
"Bay City, MI","105,839",497.0,"1,520.2",2.0%
"Beaumont-Port Arthur, TX","406,743",783.5,"1,865.8",2.6%
"Beckley, WV","122,631",826.9,"2,059.0",2.9%
"Bellingham, WA","210,855",539.2,"2,293.5",2.8%
"Bend-Redmond, OR","174,742",299.3,"1,967.5",2.3%
"Billings, MT","168,961",465.8,"2,695.9",3.2%
"Binghamton, NY","245,686",410.7,"2,070.9",2.5%
"Bismarck, ND","129,464",188.5,"1,320.1",1.5%
"Bloomington, IN","165,263",492.5,"1,907.3",2.4%
"Bloomsburg-Berwick, PA M.S.A","85,762",240.2,"1,057.6",1.3%
"Boise City, ID","678,158",315.3,"1,286.4",1.6%
"Bowling Green, KY","167,238",477.2,"1,784.9",2.3%
"Bremerton-Silverdale, WA","255,747",567.0,"1,984.0",2.6%
"Bridgeport-Stamford-Norwalk, CT","934,152",236.6,"1,090.9",1.3%
"Brownsville-Harlingen, TX","424,559",567.9,"2,589.0",3.2%
"Buffalo-Cheektowaga-Niagara Falls, NY","1,134,390",474.4,"1,805.7",2.3%
